 What is your age? ,What is your gender?  , What is your occupation?   , How many hours do you play video games per day on average?  ,How many days per week do you play games?  , What type of games do you mostly play?  ,Do you often lose track of time while gaming?  ,Have you ever skipped meals or sleep due to gaming?   ,Have others ever expressed concern about your gaming habits?  ,"On a scale of 1 to 10, how stressed do you feel on average?  ","On a scale of 1 to 10, how anxious do you feel regularly?  ","On average, how many hours of sleep do you get per night?  ",How often do you feel socially withdrawn or isolated?  ,Have you ever felt guilty or depressed after long gaming sessions?  ,Do you think gaming helps you cope with stress or emotional issues?  ,Do you consent to your responses being used anonymously for academic research?   
21,Female,Architect,3,3,Sports,Yes,Yes,No,8,6,5.6,Sometimes,Yes,No,Yes
18,Male,College Sophomore,3,4,Strategy,Yes,No,Yes,5,7,6.1,Often,Yes,No,Yes
22,Female,Construction Worker,9,6,Creative,Yes,No,Yes,8,1,5.1,Often,No,No,Yes
19,Female,Doctor,1,5,Action,Yes,No,Yes,4,1,8.6,Often,Yes,No,Yes
19,Male,Student,5,7,Action,Yes,Yes,Yes,5,6,6.2,Rarely,Yes,No,Yes
21,Prefer not to say,Financial Planner,4,3,Sports,Yes,Yes,Yes,8,10,8.1,Often,Yes,Yes,No
27,Female,Business in Import export ,6,5,Creative,Yes,Yes,Yes,3,4,7.9,Often,Yes,No,Yes
22,Male,VR Design Student,6,7,Racing,Yes,Yes,No,7,8,8.0,Often,No,No,Yes
23,Male,Auto Group Executive,1,3,Sports,Yes,No,Yes,9,6,5.5,Rarely,Yes,No,Yes
19,Female,Music Student,2,4,Strategy,Yes,No,No,6,4,8.3,Rarely,No,No,Yes
24,Other,Coffee Barista,6,5,Puzzle,No,Yes,No,3,2,5.3,Always,Yes,No,Yes
21,Male,Nanny,1,1,RPG,Yes,Yes,Yes,7,6,7.0,Sometimes,Yes,No,Yes
18,Female,Student,4,2,Simulation,No,No,Yes,6,3,4.9,Rarely,No,Yes,Yes
20,Female,Electrician Lead,2,7,FPS,Yes,Yes,No,3,7,5.9,Never,No,No,Yes
17,Female,Electrical Contractor,1,3,Strategy,Yes,Yes,No,3,6,6.1,Sometimes,Yes,No,Yes
19,Female,Freelance Writer,2,3,RPG,Yes,No,Yes,5,6,6.4,Sometimes,Yes,No,Yes
23,Female,Student,5,6,Racing,No,No,Yes,9,5,5.1,Rarely,Yes,Yes,Yes
21,Female,Psychology Student,2,7,Battle Royale,Yes,Yes,Yes,3,4,6.2,Sometimes,No,No,Yes
19,Female,Sales Associate,3,5,Simulation,Yes,Yes,Yes,3,6,7.1,Rarely,Yes,No,Yes
21,Female,Art Major,1,4,Sports,Yes,Yes,No,10,5,6.2,Often,No,No,Yes
21,Female,Student,4,6,Racing,Yes,Yes,Yes,3,4,5.7,Rarely,Yes,Yes,Yes
19,Male,Student,1,1,Simulation,Yes,Yes,Yes,5,4,6.1,Often,Yes,No,Yes
25,Male,Music Store Clerk,4,3,RPG,Yes,No,Yes,2,2,4.7,Always,Yes,Yes,Yes
18,Prefer not to say,Pediatric Nurse,9,4,MOBA,No,Yes,Yes,8,8,4.4,Sometimes,Yes,Yes,Yes
21,Male,Kindergarten Teacher,2,7,Simulation,Yes,Yes,No,5,6,6.1,Sometimes,No,Yes,Yes
17,Female,Vet Assistant,4,1,Simulation,Yes,No,Yes,7,6,6.3,Often,No,No,Yes
19,Female,College Athlete,6,2,RPG,Yes,Yes,Yes,7,7,5.8,Sometimes,Yes,No,Yes
23,Male,Vet Receptionist,3,4,Simulation,Yes,Yes,No,7,7,6.9,Sometimes,No,No,Yes
23,Male,Marketing Manager,1,7,Simulation,Yes,Yes,Yes,3,6,5.8,Often,Yes,Yes,No
20,Prefer not to say,College Sophomore,3,7,Sports,Yes,Yes,Yes,3,7,6.2,Often,Yes,No,Yes
19,Female,Student,5,5,Action,Yes,Yes,No,4,8,6.3,Sometimes,Yes,No,Yes
21,Male,High School Senior,4,6,FPS,No,No,No,10,6,7.8,Sometimes,Yes,No,Yes
17,Prefer not to say,Physician Assistant,5,2,Racing,No,Yes,Yes,5,5,7.7,Often,No,No,Yes
20,Prefer not to say,Student,3,6,Strategy,Yes,Yes,No,9,10,7.7,Often,Yes,Yes,Yes
21,Male,HS Senior,2,5,Sports,No,Yes,Yes,8,6,5.0,Sometimes,Yes,Yes,Yes
23,Female,Zara store employee ,1,4,Sports,Yes,No,Yes,7,2,7.2,Often,Yes,Yes,Yes
25,Male,Software Engineer,3,5,Creative,Yes,Yes,No,2,6,6.3,Sometimes,Yes,No,Yes
19,Male,Astrophysicist,5,3,Battle Royale,No,No,No,9,5,4.3,Never,Yes,Yes,Yes
18,Male,Freelance Writer,1,6,FPS,No,No,No,2,1,5.1,Sometimes,Yes,Yes,Yes
20,Male,Auto Dealer,1,5,Racing,Yes,Yes,Yes,3,10,6.1,Sometimes,Yes,No,Yes
19,Male,Unemployed,3,1,Strategy,Yes,Yes,No,6,5,6.1,Sometimes,Yes,No,Yes
19,Male,Neuroscience Researcher,1,1,FPS,Yes,Yes,Yes,2,7,6.1,Sometimes,No,Yes,Yes
18,Female,Student,3,5,Simulation,Yes,Yes,Yes,9,6,5.9,Never,No,Yes,Yes
20,Male,Student,2,4,Other,No,Yes,Yes,10,9,3.4,Sometimes,Yes,No,Yes
23,Prefer not to say,Pharmacy Tech,6,6,Other,Yes,No,No,8,4,6.1,Sometimes,Yes,Yes,No
19,Female,Student,5,6,Casual,No,Yes,No,2,2,7.9,Never,Yes,No,Yes
19,Female,Student,2,3,Multiplayer,Yes,Yes,Yes,8,6,5.5,Always,Yes,No,Yes
24,Male,Nursing Student,2,3,Strategy,Yes,No,No,7,5,6.5,Often,No,No,Yes
27,Female,Student,6,6,Racing,Yes,Yes,Yes,8,5,2.1,Rarely,Yes,No,Yes
17,Male,Student,3,6,FPS,Yes,Yes,Yes,7,6,6.0,Often,No,Yes,Yes
21,Male,Fast Food Manager,4,2,Racing,No,Yes,No,7,2,7.0,Often,Yes,No,Yes
21,Female,Student,1,6,Multiplayer,Yes,Yes,No,5,8,6.1,Sometimes,Yes,No,Yes
20,Female,Delivery Manager,2,2,Action,Yes,Yes,No,3,3,6.1,Often,No,Yes,Yes
19,Male,Pediatrician,5,7,Action,Yes,Yes,Yes,7,5,3.4,Often,Yes,No,Yes
24,Male,Drink,4,7,Strategy,Yes,Yes,Yes,10,3,6.1,Rarely,Yes,No,Yes
17,Male,Construction Supervisor,3,4,Strategy,Yes,Yes,Yes,2,7,4.0,Always,Yes,No,Yes
25,Male,Graphic Designer,6,6,RPG,Yes,Yes,No,2,4,3.3,Never,Yes,No,Yes
23,Male,Construction Foreman,2,5,Sports,Yes,Yes,Yes,2,7,5.9,Sometimes,Yes,No,Yes
19,Male,Nursing Student,1,5,Strategy,Yes,No,No,7,8,4.1,Often,Yes,No,Yes
20,Male,Delivery Driver,1,5,Battle Royale,Yes,Yes,No,8,6,6.1,Often,No,Yes,Yes
23,Male,Student,1,3,Casual,Yes,No,No,8,5,8.4,Rarely,Yes,No,Yes
20,Male,Student ,3,7,Action,Yes,Yes,Yes,9,6,7.2,Often,No,No,Yes
24,Male,Student,4,5,Battle Royale,No,Yes,No,9,6,7.8,Often,Yes,No,Yes
18,Female,Medical Assistant,4,2,FPS,Yes,Yes,Yes,2,4,7.4,Often,No,No,Yes
21,Male,Delivery Manager,2,5,Battle Royale,Yes,Yes,Yes,2,10,7.9,Sometimes,Yes,Yes,Yes
19,Male,Lawyer,2,5,Casual,Yes,Yes,No,7,1,7.2,Sometimes,No,Yes,Yes
18,Male,Barista,3,6,Simulation,Yes,Yes,No,7,6,8.1,Never,Yes,No,Yes
21,Female,Game Design Student,1,4,Strategy,Yes,No,No,7,4,6.8,Sometimes,No,No,Yes
24,Male,Art Gallery Owner,6,1,RPG,No,Yes,Yes,8,5,5.8,Often,Yes,Yes,Yes
24,Male,HS Senior,2,6,FPS,Yes,Yes,Yes,7,7,6.1,Often,Yes,Yes,Yes
19,Male,Digital Arts Major,6,6,Battle Royale,No,No,Yes,4,7,7.1,Never,No,No,Yes
21,Male,College Student,4,7,Action,Yes,No,Yes,5,5,6.0,Sometimes,Yes,No,Yes
18,Male,Bank Teller,1,2,Racing,No,Yes,No,8,6,6.2,Sometimes,Yes,No,Yes
20,Female,Truck Driver,5,7,FPS,Yes,No,No,7,1,6.4,Sometimes,No,No,Yes
24,Male,Student,2,5,Puzzle,Yes,No,No,6,4,5.9,Often,No,Yes,Yes
19,Female,Pediatric Nurse,1,6,Puzzle,Yes,No,No,5,7,6.2,Never,Yes,No,Yes
19,Male,Student,5,2,Simulation,Yes,No,Yes,4,8,4.0,Often,Yes,No,Yes
22,Male,Nurse Practitioner,9,6,Casual,Yes,Yes,Yes,8,4,7.1,Often,Yes,No,Yes
21,Male,Warehouse Worker,1,6,FPS,Yes,No,No,10,1,3.0,Sometimes,Yes,No,Yes
20,Female,IT Consultant,1,2,Racing,Yes,Yes,No,4,8,4.0,Sometimes,No,No,Yes
25,Male,Student,1,4,Strategy,Yes,Yes,No,7,2,6.1,Sometimes,Yes,No,Yes
18,Male,Freelance Writer,3,3,Racing,No,No,Yes,9,1,6.7,Often,Yes,Yes,Yes
22,Male,Student,1,1,FPS,Yes,No,Yes,2,4,5.8,Often,Yes,No,Yes
24,Prefer not to say,Freelance Writer,2,2,Sports,Yes,Yes,Yes,8,5,2.2,Sometimes,Yes,No,Yes
23,Male,Student,2,6,Strategy,Yes,Yes,Yes,5,1,5.3,Always,No,Yes,Yes
20,Male,HS Senior,2,6,Racing,Yes,Yes,No,7,6,6.8,Sometimes,Yes,Yes,Yes
22,Female,Student,2,6,Simulation,No,Yes,Yes,3,2,5.3,Often,Yes,No,Yes
18,Female,Student,4,6,Simulation,No,Yes,No,7,4,7.9,Sometimes,No,No,Yes
21,Male,Landscaper,3,3,Educational,Yes,No,No,3,9,6.1,Often,Yes,No,No
25,Prefer not to say,Business in Import export ,3,4,Other,Yes,Yes,Yes,7,5,6.2,Always,Yes,No,Yes
22,Female,Student,5,1,Adventure,Yes,No,No,4,6,6.3,Rarely,Yes,Yes,Yes
21,Female,Cybersecurity Expert,1,5,Casual,Yes,No,No,6,5,8.4,Often,No,Yes,Yes
21,Male,Auto Repair Shop Manager,3,3,Multiplayer,Yes,Yes,No,10,10,7.9,Sometimes,Yes,No,Yes
18,Female,Student,3,4,FPS,Yes,No,No,5,9,6.1,Sometimes,Yes,Yes,Yes
20,Female,Bank Teller,7,5,Creative,Yes,Yes,Yes,7,2,6.4,Often,Yes,No,Yes
21,Male,Fine Arts Major,4,6,MMO,Yes,Yes,No,8,8,5.2,Never,Yes,Yes,Yes
26,Female,Accountant,6,4,FPS,No,Yes,No,8,8,5.4,Always,No,No,Yes
22,Male,Construction Worker,1,3,FPS,Yes,No,Yes,8,9,7.3,Often,Yes,Yes,Yes
25,Male,Dental Assistant,1,3,FPS,Yes,No,No,9,1,5.8,Rarely,Yes,No,Yes
23,Male,Biology Researcher,1,1,Racing,Yes,Yes,No,5,2,8.0,Often,No,Yes,Yes
29,Male,Student,2,5,MMO,No,No,No,1,6,6.8,Always,Yes,No,Yes
18,Male,Police Officer,4,4,RPG,Yes,Yes,Yes,2,1,5.5,Never,Yes,Yes,Yes
22,Female,Student,2,4,Visual Novel,Yes,Yes,Yes,4,6,4.2,Sometimes,No,Yes,Yes
19,Male,HS Senior,1,6,RPG,No,Yes,No,2,3,6.3,Never,Yes,No,Yes
17,Female,Physics Major,5,7,Casual,Yes,No,No,6,3,8.3,Rarely,Yes,No,Yes
18,Female,Software Engineer,6,2,Casual,Yes,Yes,No,7,8,8.2,Often,No,Yes,Yes
23,Female,IT Project Manager,1,7,RPG,Yes,Yes,No,5,7,6.1,Rarely,Yes,No,Yes
20,Female,Psych Research Asst,2,7,Action,Yes,No,Yes,7,6,6.4,Always,No,Yes,Yes
19,Male,Delivery Supervisor,5,7,Educational,No,Yes,Yes,9,6,6.4,Always,No,Yes,Yes
26,Female,Construction Worker,2,4,Strategy,Yes,No,Yes,7,7,6.4,Sometimes,Yes,No,Yes
21,Male,Teacher,9,1,RPG,No,Yes,No,4,10,6.0,Never,Yes,No,Yes
22,Female,Student,5,2,Sports,Yes,No,Yes,3,6,5.9,Sometimes,Yes,Yes,Yes
23,Male,Student,5,2,FPS,Yes,Yes,Yes,10,4,6.3,Never,Yes,Yes,Yes
20,Female,Computer Engineering,1,4,Strategy,Yes,Yes,Yes,3,6,6.0,Often,Yes,No,Yes
21,Male,Network Administrator,2,6,Puzzle,Yes,Yes,Yes,10,4,4.8,Often,Yes,No,Yes
23,Female,Student,3,3,Racing,Yes,No,No,4,4,5.9,Often,Yes,No,Yes
22,Male,Retail Manager,1,7,Simulation,Yes,No,No,6,4,5.8,Sometimes,Yes,Yes,Yes
21,Female,Truck Driver,4,2,Battle Royale,Yes,Yes,Yes,6,10,6.2,Often,Yes,No,Yes
21,Male,Fast Food Manager,7,4,Creative,Yes,Yes,Yes,8,4,4.8,Often,No,No,Yes
23,Male,Supply Chain Director,1,5,Simulation,Yes,Yes,Yes,2,4,4.1,Never,No,No,Yes
24,Male,Unemployed,3,5,MMO,Yes,Yes,No,2,4,6.0,Often,No,No,Yes
21,Female,Music Student,4,1,Action,Yes,Yes,No,2,5,2.9,Often,No,No,Yes
22,Female,Teacher,3,5,Adventure,Yes,Yes,No,9,2,2.9,Sometimes,Yes,No,Yes
27,Female,Early Childhood Educator,2,6,Puzzle,Yes,No,No,6,7,6.2,Sometimes,Yes,Yes,Yes
21,Male,Student,6,5,FPS,Yes,Yes,Yes,6,3,6.3,Always,Yes,Yes,Yes
23,Female,Cook,2,6,FPS,Yes,No,Yes,5,4,3.5,Often,Yes,Yes,Yes
26,Prefer not to say,Student,5,3,Simulation,Yes,Yes,Yes,6,4,6.0,Never,Yes,No,Yes
27,Male,Nurse,2,6,Puzzle,Yes,Yes,Yes,5,6,6.2,Often,No,No,Yes
24,Female,Special Needs Teacher,3,1,Puzzle,Yes,Yes,Yes,5,7,4.6,Always,Yes,Yes,Yes
21,Female,Student,7,1,Creative,Yes,Yes,No,4,6,5.8,Often,Yes,No,Yes
24,Male,Student,4,2,MMO,No,No,No,6,6,8.0,Sometimes,Yes,Yes,Yes
18,Male,High School Junior,3,7,MMO,Yes,No,Yes,8,6,8.1,Often,No,Yes,Yes
27,Female,Construction Worker,3,3,FPS,Yes,No,Yes,6,1,2.4,Sometimes,Yes,Yes,Yes
21,Female,Mechanic,3,5,RPG,Yes,Yes,No,1,9,6.1,Sometimes,Yes,No,No
22,Female,Cybersecurity Expert,6,7,MMO,Yes,Yes,Yes,5,6,5.9,Often,Yes,No,Yes
20,Male,College Dropout,2,1,Puzzle,Yes,No,Yes,4,1,6.4,Often,No,No,Yes
19,Male,Research Assistant,2,6,Casual,Yes,Yes,No,9,7,7.5,Always,Yes,Yes,Yes
25,Male,Art Student,5,6,Strategy,Yes,Yes,No,6,4,5.2,Sometimes,Yes,No,Yes
23,Female,Student,4,6,Puzzle,Yes,No,No,4,1,7.1,Often,No,Yes,Yes
19,Male,Student,1,7,Simulation,No,Yes,No,5,6,6.2,Never,Yes,Yes,Yes
21,Female,Business in Import export ,5,7,Puzzle,Yes,No,Yes,8,9,6.4,Often,Yes,No,Yes
17,Female,AI Research Student,1,6,FPS,Yes,Yes,Yes,8,6,8.1,Rarely,No,Yes,Yes
21,Male,Cashier,2,4,Action,Yes,Yes,Yes,4,7,3.8,Sometimes,Yes,No,Yes
20,Female,Student,3,6,Action,Yes,Yes,Yes,5,6,4.1,Sometimes,No,Yes,Yes
29,Male,HS Junior,2,6,Strategy,Yes,No,Yes,6,3,8.4,Always,Yes,No,Yes
17,Male,Teacher,3,5,Puzzle,Yes,Yes,Yes,8,4,5.2,Often,Yes,Yes,Yes
18,Male,Auto Body Technician,7,2,Other,Yes,No,Yes,7,1,7.4,Never,Yes,No,Yes
21,Female,HS Senior,1,7,Creative,Yes,No,No,9,1,6.0,Sometimes,Yes,Yes,Yes
19,Male,Student,4,3,Casual,Yes,Yes,Yes,7,1,5.4,Often,Yes,No,Yes
27,Male,Childcare Worker,4,4,FPS,Yes,No,No,7,4,8.7,Never,Yes,Yes,Yes
20,Male,Student,2,5,Other,No,Yes,No,7,8,6.0,Always,Yes,No,Yes
19,Male,Student,1,3,Simulation,Yes,Yes,No,2,9,6.3,Never,Yes,Yes,Yes
21,Female,Student,4,5,Sports,Yes,Yes,Yes,10,4,5.8,Often,No,No,Yes
24,Male,Student,1,3,Multiplayer,Yes,No,No,5,2,6.9,Sometimes,Yes,No,Yes
17,Female,Student,1,6,MMO,Yes,Yes,Yes,3,5,8.5,Sometimes,Yes,Yes,No
17,Male,Student,6,7,Puzzle,Yes,No,No,2,5,8.0,Sometimes,Yes,Yes,Yes
18,Male,Student,4,7,RPG,Yes,Yes,Yes,8,10,1.9,Often,Yes,Yes,Yes
20,Male,Student,1,5,Sports,No,No,Yes,7,6,6.2,Sometimes,No,Yes,Yes
18,Female,Drink,3,1,Simulation,No,No,Yes,2,1,8.1,Never,Yes,Yes,Yes
24,Female,Nursing Assistant,1,5,Simulation,Yes,Yes,No,10,4,5.7,Never,Yes,Yes,Yes
18,Male,Student,1,1,Sports,Yes,Yes,Yes,6,5,6.0,Sometimes,No,No,Yes
20,Female,Student,3,6,Creative,Yes,Yes,Yes,7,7,6.2,Always,No,No,Yes
28,Female,Art Major,2,4,Casual,Yes,No,Yes,10,4,1.1,Sometimes,No,No,Yes
22,Female,Teacher,3,7,MMO,Yes,Yes,Yes,7,4,6.9,Never,Yes,Yes,Yes
21,Male,IT Helpdesk Lead,4,3,Multiplayer,Yes,Yes,No,1,8,7.0,Sometimes,No,No,Yes
21,Male,Freelance Writer,3,3,RPG,Yes,Yes,Yes,6,5,7.2,Often,Yes,Yes,Yes
20,Male,IT Helpdesk,4,1,Multiplayer,Yes,No,Yes,7,6,6.1,Never,No,Yes,Yes
21,Female,Freelance Writer,8,5,Adventure,Yes,No,Yes,6,4,7.6,Always,Yes,No,Yes
18,Female,Student,5,3,Sports,No,No,Yes,7,8,5.3,Often,Yes,Yes,Yes
19,Male,Social Worker,6,6,Simulation,Yes,No,No,6,7,6.8,Never,Yes,Yes,Yes
21,Female,Student,6,4,Adventure,Yes,Yes,Yes,7,2,5.9,Sometimes,Yes,Yes,Yes
25,Female,Auto Parts Manager,2,6,Strategy,Yes,Yes,Yes,5,7,5.5,Often,Yes,No,No
18,Male,Doctor,4,7,Simulation,Yes,Yes,No,10,7,8.5,Always,Yes,No,Yes
23,Male,IT Technician,6,6,Strategy,Yes,Yes,Yes,7,4,4.9,Often,Yes,No,Yes
21,Male,Electrician Supervisor,5,4,Adventure,No,Yes,Yes,5,1,5.1,Always,No,No,Yes
20,Male,Student,2,5,Simulation,Yes,No,No,4,5,8.3,Sometimes,Yes,No,Yes
22,Female,Student,5,1,FPS,Yes,Yes,Yes,6,2,5.8,Often,Yes,No,Yes
27,Male,Child Development Prof,5,6,Creative,Yes,No,Yes,7,6,6.2,Often,No,No,Yes
27,Female,Chief Technology Officer,1,6,Strategy,No,Yes,Yes,5,4,4.0,Often,Yes,Yes,Yes
18,Female,Nursing Student,7,6,FPS,No,No,No,6,7,7.9,Never,Yes,No,Yes
18,Male,Auto Mechanic Lead,4,1,FPS,Yes,No,No,9,4,8.1,Rarely,Yes,Yes,Yes
21,Male,Computer Science Major,7,2,Creative,Yes,No,Yes,3,6,7.0,Often,Yes,No,Yes
20,Female,Bank Teller,1,3,Racing,No,No,Yes,6,8,3.5,Often,Yes,No,Yes
22,Male,Manager,6,3,Multiplayer,No,Yes,Yes,6,4,6.9,Rarely,No,Yes,Yes
26,Female,Manager,4,6,Simulation,Yes,Yes,Yes,9,4,5.0,Often,Yes,No,No
19,Prefer not to say,Warehouse Associate,2,6,Battle Royale,Yes,Yes,Yes,3,8,5.8,Never,Yes,Yes,Yes
18,Female,Astrophysicist,1,2,Adventure,Yes,No,No,4,1,6.4,Sometimes,No,No,Yes
23,Female,Nursing Student,2,5,Strategy,No,No,No,8,4,4.8,Often,Yes,No,Yes
18,Female,IT Helpdesk,2,1,Racing,No,No,No,5,9,6.3,Sometimes,No,Yes,Yes
24,Male,IT Technician,3,5,Educational,Yes,Yes,Yes,4,7,6.3,Sometimes,No,Yes,Yes
20,Male,High School Sophomore,2,6,MMO,Yes,Yes,Yes,5,4,8.5,Sometimes,Yes,No,Yes
18,Male,College Student,5,6,Simulation,Yes,No,Yes,7,5,4.6,Sometimes,No,No,Yes
24,Male,IT Consultant,1,7,Strategy,Yes,Yes,Yes,9,6,5.2,Sometimes,Yes,No,Yes
21,Female,Unemployed,6,7,Battle Royale,Yes,No,No,1,7,5.8,Often,Yes,Yes,Yes
30,Female,Drink,6,2,Battle Royale,Yes,No,Yes,3,10,6.1,Sometimes,Yes,Yes,Yes
19,Female,Student,2,6,FPS,Yes,No,Yes,10,7,5.8,Always,No,Yes,Yes
25,Female,Construction Foreman,2,6,Other,Yes,Yes,No,4,4,4.9,Never,Yes,Yes,Yes
20,Male,Esports Aspirant,1,4,Action,No,Yes,Yes,4,4,5.0,Never,No,Yes,Yes
29,Male,Student,4,5,Battle Royale,Yes,Yes,Yes,1,6,5.6,Rarely,No,Yes,Yes
24,Male,Landscaper,3,2,Strategy,Yes,Yes,Yes,6,4,7.9,Often,Yes,No,Yes
18,Male,Student,4,6,Simulation,Yes,No,Yes,8,1,5.8,Never,Yes,No,Yes
21,Male,Student,3,5,Casual,Yes,No,No,10,2,3.0,Never,Yes,Yes,Yes
22,Male,Psychology Student,3,6,Sports,Yes,Yes,No,6,6,7.4,Never,No,Yes,Yes
19,Male,HS Senior,4,5,Educational,Yes,Yes,No,1,7,5.9,Often,No,Yes,Yes
19,Female,Designer,2,6,Strategy,Yes,Yes,Yes,6,2,7.1,Never,Yes,Yes,Yes
25,Male,Vet Tech,4,3,Simulation,Yes,No,No,5,2,5.8,Often,No,Yes,Yes
29,Male,Fast Food Manager,1,7,Casual,Yes,Yes,Yes,5,4,6.0,Sometimes,No,Yes,Yes
20,Male,Truck Driver,4,2,Puzzle,Yes,Yes,Yes,5,7,5.7,Often,No,Yes,Yes
21,Female,Student,1,7,FPS,Yes,No,Yes,8,4,8.0,Always,Yes,No,Yes
27,Male,College Senior,1,4,MMO,Yes,Yes,Yes,8,7,7.2,Sometimes,No,Yes,Yes
21,Male,Student,1,6,Action,Yes,No,No,6,8,7.5,Often,No,No,Yes
22,Male,Graphic Artist,2,3,Other,Yes,Yes,No,8,2,8.5,Rarely,Yes,No,Yes
22,Female,Student,6,4,Sports,Yes,No,Yes,2,5,3.9,Always,No,No,Yes
20,Female,Chief Technology Officer,1,7,Sports,Yes,Yes,Yes,5,8,5.8,Often,Yes,No,Yes
20,Male,Marine engineering ,4,5,Strategy,Yes,No,No,7,2,4.8,Rarely,Yes,Yes,Yes
17,Female,Student,5,5,Racing,Yes,No,No,6,3,6.1,Often,Yes,Yes,Yes
19,Female,Student,3,3,MMO,Yes,Yes,No,5,7,4.3,Rarely,Yes,No,Yes
19,Female,Venture Capitalist,3,6,Simulation,Yes,No,Yes,6,7,6.3,Often,No,No,Yes
18,Female,Mechanic,5,3,Simulation,Yes,Yes,No,5,6,4.6,Sometimes,No,Yes,Yes
25,Male,Warehouse Supervisor,3,6,Card,No,Yes,No,6,6,7.1,Sometimes,Yes,Yes,Yes
27,Male,HS Senior,2,6,FPS,Yes,Yes,Yes,2,6,6.8,Sometimes,Yes,Yes,Yes
22,Male,Student,1,5,FPS,Yes,Yes,No,7,6,5.7,Often,Yes,No,Yes
25,Male,Student,5,5,Strategy,Yes,No,No,5,7,8.0,Sometimes,No,No,Yes
17,Male,Lawyer,1,6,Simulation,Yes,Yes,No,5,4,5.6,Often,No,Yes,Yes
21,Female,Manager,5,6,Educational,Yes,Yes,Yes,8,7,5.4,Often,Yes,No,Yes
20,Prefer not to say,Auto Parts Manager,1,5,Fitness,Yes,No,Yes,3,3,4.8,Sometimes,No,Yes,Yes
24,Male,Behavioral Neuroscience,2,2,Simulation,Yes,No,No,5,6,6.0,Always,Yes,No,Yes
18,Male,Marketing Asst,3,3,Strategy,Yes,Yes,No,7,7,6.1,Often,Yes,No,Yes
17,Female,HS Junior,1,7,MMO,Yes,Yes,Yes,2,6,5.2,Sometimes,Yes,No,Yes
25,Female,Student,7,7,Racing,Yes,No,Yes,6,2,8.3,Rarely,Yes,Yes,No
23,Male,Art Gallery Intern,3,1,Racing,No,No,Yes,1,5,8.4,Rarely,No,No,Yes
23,Male,Teacher,3,7,Other,Yes,No,Yes,6,7,8.0,Sometimes,Yes,No,Yes
23,Male,Student,8,6,Simulation,No,Yes,Yes,7,6,6.0,Never,Yes,Yes,Yes
19,Female,Student,5,5,Simulation,Yes,Yes,No,10,6,6.0,Sometimes,Yes,No,Yes
18,Male,Student,2,6,FPS,Yes,No,No,9,6,6.1,Sometimes,No,Yes,Yes
18,Female,Truck Driver,1,3,Puzzle,Yes,Yes,Yes,10,7,5.4,Often,Yes,No,Yes
19,Female,AI Research Scientist,2,7,Other,Yes,Yes,No,5,8,6.9,Often,Yes,Yes,Yes
18,Male,Student,1,7,Simulation,Yes,Yes,No,7,6,6.0,Often,Yes,Yes,Yes
18,Male,Student,1,6,Strategy,No,Yes,Yes,3,1,5.4,Sometimes,Yes,No,Yes
22,Female,Student,3,6,Strategy,Yes,No,No,5,7,7.3,Rarely,No,No,Yes
21,Male,Warehouse Worker,2,5,Sports,No,No,Yes,7,1,4.9,Always,No,Yes,Yes
20,Prefer not to say,Cosmetology Student,4,7,Simulation,Yes,Yes,Yes,10,8,6.1,Often,Yes,No,Yes
28,Prefer not to say,Student,1,1,FPS,No,No,No,2,4,3.2,Always,No,No,Yes
22,Female,Student,4,6,Creative,Yes,No,Yes,3,4,8.0,Sometimes,Yes,No,No
18,Male,Game Design Student,2,5,Puzzle,Yes,Yes,Yes,7,4,2.8,Always,Yes,Yes,Yes
23,Female,College Dropout,4,5,Other,Yes,Yes,Yes,10,4,5.0,Sometimes,Yes,Yes,Yes
19,Female,Barista,5,3,Adventure,Yes,Yes,No,2,8,7.6,Often,Yes,Yes,Yes
24,Female,Music Student,2,5,Strategy,Yes,Yes,Yes,6,4,8.3,Often,Yes,No,Yes
22,Female,Auto Mechanic,4,6,Racing,Yes,No,No,8,8,8.8,Often,Yes,No,Yes
23,Male,Game Design Student,4,6,Creative,No,Yes,Yes,5,10,7.9,Always,Yes,No,Yes
19,Male,Computer Science Major,6,5,RPG,Yes,No,No,7,2,3.3,Never,Yes,No,Yes
25,Female,Student,4,6,FPS,Yes,No,No,7,9,6.0,Never,No,No,Yes
19,Male,Student,5,5,RPG,Yes,Yes,Yes,7,8,7.3,Often,Yes,No,Yes
19,Prefer not to say,Orthodontist,6,6,Casual,Yes,No,Yes,7,6,8.3,Often,No,Yes,Yes
22,Female,Auto Repair Shop Manager,4,6,Simulation,No,Yes,Yes,8,4,5.9,Often,No,Yes,Yes
17,Male,Student,2,6,Sports,Yes,Yes,Yes,3,5,8.5,Often,Yes,No,Yes
17,Male,Engineer,4,6,Battle Royale,Yes,Yes,No,3,4,7.0,Never,Yes,No,No
18,Male,Psych Research Asst,4,1,FPS,Yes,Yes,Yes,7,2,5.1,Often,Yes,No,Yes
19,Male,Music Student,7,7,Racing,Yes,Yes,No,7,3,1.8,Always,No,Yes,Yes
22,Male,Student,5,5,Casual,Yes,Yes,No,5,1,3.3,Rarely,Yes,Yes,Yes
19,Female,Biology Major,7,7,FPS,Yes,Yes,No,6,5,6.8,Sometimes,Yes,Yes,No
17,Prefer not to say,Vet Assistant,9,6,Casual,Yes,Yes,Yes,5,9,6.3,Often,Yes,Yes,Yes
